"Version","BoostTop3Avg","BoostMax","Samples"
"2026.05.30","67660","67875","67875/67692/67413/67184/64124"
"2026.05.31","80767","81132","81132/80854/80316/79784/76522"
"2026.06.01","84542","84927","84927/84624/84076/84065/79372"
"2026.06.03","85964","86883","86883/85633/85375/84101/81806"
"2026.06.04","90857","91025","91025/90858/90689/90674/85380"
"2026.06.05","90599","90725","90725/90590/90481/90196/85918"
"2026.06.07","100494","100933","100933/100369/100181/100157/95891"
"2026.06.07b","111215","111544","111544/111225/110876/110619/104115"
"2026.06.08","112329","113450","113450/111979/111558/110414/107380"
"2026.06.09","112995","113770","113770/112831/112385/112080/106311"
"2026.06.09b","113285","114113","114113/113021/112721/108433/105570"
"2026.06.09c","114206","114768","114768/113942/113909/113743/112779"
"2026.06.09d","113879","114383","114383/113674/113579/113162/113070"
"2026.06.09e","115101","115552","115552/115418/114332/114027/114006"
"2026.06.11","126282","126672","126672/126318/125855/125595/121304"
"2026.06.12","134379","135345","135345/133969/133823/133262/132786"
"2026.06.18","137226","138593","138593/137750/135334/135018/132376"
"2026.06.19","138708","139942","139942/138901/137281/132812/129631"
