version,date,best3avg_hcs,checksum,il,native,tf,temp_c
2026.05.30,2026-05-30,44170,0x9174E19D961CB6E5,359,3052,net10.0,36.7
2026.05.31,2026-05-31,52163,0x9174E19D961CB6E5,359,3608,net10.0,36.2
2026.06.01,2026-05-31,54581,0x9174E19D961CB6E5,359,4304,net10.0,37.8
2026.06.03,2026-06-02,56230,0x9174E19D961CB6E5,130,2964,net10.0,36.7
2026.06.04,2026-06-03,58893,0x9174E19D961CB6E5,130,3128,net10.0,36.2
2026.06.05,2026-06-05,60279,0x9174E19D961CB6E5,130,3104,net10.0,36.2
2026.06.07,2026-06-06,67646,0x9174E19D961CB6E5,130,3292,net10.0,34.5
2026.06.07b,2026-06-07,74802,0x9174E19D961CB6E5,130,3424,net10.0,35.6
2026.06.08,2026-06-08,74823,0x9174E19D961CB6E5,130,3424,net10.0,36.2
2026.06.09,2026-06-08,75353,0x9174E19D961CB6E5,130,3340,net10.0,35.6
2026.06.09b,2026-06-08,75772,0x9174E19D961CB6E5,130,3340,net11.0,36.2
2026.06.09c,2026-06-09,75409,0x9174E19D961CB6E5,130,3340,net11.0,36.2
2026.06.09d,2026-06-09,75214,0x9174E19D961CB6E5,130,3340,net11.0,36.7
2026.06.09e,2026-06-09,75184,0x9174E19D961CB6E5,130,3340,net11.0,35.6
2026.06.11,2026-06-10,77899,0x9174E19D961CB6E5,130,3372,net11.0,36.2
2026.06.12,2026-06-11,78203,0x9174E19D961CB6E5,130,3372,net11.0,35.6
2026.06.18,2026-06-18,91026,0x9174E19D961CB6E5,130,4736,net11.0,36.2
2026.06.19,2026-06-18,95428,0x9174E19D961CB6E5,136,4636,net11.0,35.6
