round,stage,rate
1,S0_preR1,64587
1,S1_R1,78969
1,S2_P1,101064
1,S3_P234,108448
1,S4_micro,112887
1,S5_range,117671
1,S6_capture,121473
1,S7_B1,133007
2,S0_preR1,66705
2,S1_R1,80586
2,S2_P1,101381
2,S3_P234,109055
2,S4_micro,113232
2,S5_range,118141
2,S6_capture,124899
2,S7_B1,135828
3,S0_preR1,68392
3,S1_R1,79857
3,S2_P1,101158
3,S3_P234,111875
3,S4_micro,113265
3,S5_range,116197
3,S6_capture,125534
3,S7_B1,134211
4,S0_preR1,67949
4,S1_R1,78808
4,S2_P1,100659
4,S3_P234,110155
4,S4_micro,111769
4,S5_range,115168
4,S6_capture,121455
4,S7_B1,128329
5,S0_preR1,65712
5,S1_R1,81606
5,S2_P1,102790
5,S3_P234,109346
5,S4_micro,112038
5,S5_range,113701
5,S6_capture,122647
5,S7_B1,129117
6,S0_preR1,68049
6,S1_R1,81493
6,S2_P1,103818
6,S3_P234,109841
6,S4_micro,110496
6,S5_range,119464
6,S6_capture,126512
6,S7_B1,128354
7,S0_preR1,67955
7,S1_R1,82806
7,S2_P1,103737
7,S3_P234,109640
7,S4_micro,112942
7,S5_range,118976
7,S6_capture,120614
7,S7_B1,135174
8,S0_preR1,69677
8,S1_R1,80657
8,S2_P1,102210
8,S3_P234,112177
8,S4_micro,111297
8,S5_range,119323
8,S6_capture,126781
8,S7_B1,128747
9,S0_preR1,68729
9,S1_R1,81716
9,S2_P1,101964
9,S3_P234,113571
9,S4_micro,114833
9,S5_range,115142
9,S6_capture,123545
9,S7_B1,132243
