stage,source,samples,est_events
S0_preR1,IcacheMisses,402,26345472
S0_preR1,InstructionRetired,148400,155608678400
S0_preR1,TotalCycles,70311,73726427136
S0_preR1,BranchMispredictions,7773,509411328
S0_preR1,DcacheMisses,64872,4251451392
S1_R1,IcacheMisses,378,24772608
S1_R1,InstructionRetired,122781,128745209856
S1_R1,TotalCycles,59113,61984473088
S1_R1,BranchMispredictions,6618,433717248
S1_R1,DcacheMisses,60180,3943956480
S2_P1,IcacheMisses,331,21692416
S2_P1,InstructionRetired,110642,116016545792
S2_P1,TotalCycles,46584,48846864384
S2_P1,BranchMispredictions,4845,317521920
S2_P1,DcacheMisses,43312,2838495232
S3_P234,IcacheMisses,313,20512768
S3_P234,InstructionRetired,100840,105738403840
S3_P234,TotalCycles,42978,45065699328
S3_P234,BranchMispredictions,4058,265945088
S3_P234,DcacheMisses,41681,2731606016
S4_micro,IcacheMisses,333,21823488
S4_micro,InstructionRetired,99463,104294514688
S4_micro,TotalCycles,43060,45151682560
S4_micro,BranchMispredictions,4322,283246592
S4_micro,DcacheMisses,41825,2741043200
S5_range,IcacheMisses,467,30605312
S5_range,InstructionRetired,102824,107818778624
S5_range,TotalCycles,45798,48022683648
S5_range,BranchMispredictions,4728,309854208
S5_range,DcacheMisses,21779,1427308544
S6_capture,IcacheMisses,467,30605312
S6_capture,InstructionRetired,106416,111585263616
S6_capture,TotalCycles,44445,46603960320
S6_capture,BranchMispredictions,4468,292814848
S6_capture,DcacheMisses,21363,1400045568
S6b_filerm,IcacheMisses,510,33423360
S6b_filerm,InstructionRetired,106170,111327313920
S6b_filerm,TotalCycles,44094,46235910144
S6b_filerm,BranchMispredictions,4567,299302912
S6b_filerm,DcacheMisses,21168,1387266048
S7_B1,IcacheMisses,465,30474240
S7_B1,InstructionRetired,99571,104407760896
S7_B1,TotalCycles,42572,44639977472
S7_B1,BranchMispredictions,4277,280297472
S7_B1,DcacheMisses,20768,1361051648
